관리번호,문서번호,사업구분,납품사업소,호기,분야,소분야,발행기관,제목,등록일,발행일,등록자ID,지적유형,검토기관,검토일,미흡/우수사항,관련근거,권고사항,대상품목,권고내용,공유분야(기계),공유분야(계전),공유분야(공통/기타),위배 내용
2027,C0011-0008,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,bokukqm2018,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A02
2028,C0011-0009,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,duaghdrl,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A04
2029,C0011-0010,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,sh0165,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A01
2030,C0011-0011,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,kntqa702,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A71
2031,C0011-0012,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,bandohoist7,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A68
2032,C0011-0013,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,mbt5738542,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A34
2033,C0011-0104,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,duonsystem,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A08
2034,C0011-0105,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,sstechmy,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A49
2035,C0011-0106,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,NAMDOENG,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A43
2036,C0011-0107,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 NDE 요건 누락,2020-09-11 13:41,2020-09-11 13:41,sooheonkim,QSDR,검사업체,2020-08-12,"안전성관련 기기의 아래 품목에 대하여 3등급 압력용기 용접 및 NDE 검사중 다음과 같이 불일치 사항을 발견함. 대상 자재 : Water Box for Condenser & Evaporator 불일치 사항 : Water Box의 “Formed Head 부” NDE(MT) 누락 (용접부만 MT 수행됨.) * 품질요건 : 물품구매계약서 Spec. 9-132-M227 Att.4-9(Rev.1) > NDE(MT) - Formed Head, Water Box Welding 미 준수","기술규격서 Attachment 4-3 Equipment Data Sheet * EXAMINATION(Describe Components used to perform the following tests) - EDDY CURRENT : Evaporator Tube, Condenser Tube(Raw Materila) - MAGNETIC PARTICLE : Formed Head, Water Box Welding …","품질부서 및 유관 부서(설계, 제작, PM)와 함께 관련 요건 일치 여부 확인 관련 담당자 대상으로 재발 방지 교육","펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A08
