문서번호,사업구분,납품사업소,호기,분야,소분야,발행기관,제목,등록일,발행일,등록자 아이디,지적유형,검토기관,검토일,미흡_우수사항,관련근거,대상품목,권고내용,공유분야(기계),공유분야(계전),공유분야(공통_기타),위배 내용
M0046-0031,건설,새울3-4(신고리5-6),5-6호기공용,기계,공통,검사업체,120VAC용 Receptacle 미설치,2021-12-13,2021-12-13,hec081058,기타,검사업체,44539,"기술규격서에서 요구하는 자재(120VAC용 Receptacle)가 CPB Crane(0-683-M-CX80)에 설치되어 제작되어야 하나, 승인도면에 누락되어 공급기기인 CPB Crane에 미 설치되어 제작됨 - 기술규격서 요건 : 9-683-M250 Rev.1 4.06.E.1.g 항. - 요건 : 2개의 Grounding type plug receptacle을 독립된 Circuit Breaker로 연결 설치.","기술규격서 요건 : 9-683-M250 Rev.1 4.06.E.1.g 항. - g. The 120 Vac control system, including space heaters, lighting and plug receptacles, shall be furnished by the supplier with 480 -120/208 V, 60 Hz, step down Class H insulated dry type transformer.",기계 및 계전품,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,공통-panel-cable-변압기-계측기,공통,A43
M0046-0032,건설,새울3-4(신고리5-6),5-6호기공용,기계,공통,검사업체,120VAC용 Receptacle 미설치,2021-12-13,2021-12-13,ksbaek109,기타,검사업체,44539,"기술규격서에서 요구하는 자재(120VAC용 Receptacle)가 CPB Crane(0-683-M-CX80)에 설치되어 제작되어야 하나, 승인도면에 누락되어 공급기기인 CPB Crane에 미 설치되어 제작됨 - 기술규격서 요건 : 9-683-M250 Rev.1 4.06.E.1.g 항. - 요건 : 2개의 Grounding type plug receptacle을 독립된 Circuit Breaker로 연결 설치.","기술규격서 요건 : 9-683-M250 Rev.1 4.06.E.1.g 항. - g. The 120 Vac control system, including space heaters, lighting and plug receptacles, shall be furnished by the supplier with 480 -120/208 V, 60 Hz, step down Class H insulated dry type transformer.",기계 및 계전품,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,공통-panel-cable-변압기-계측기,공통,A69
M0046-0033,건설,새울3-4(신고리5-6),5-6호기공용,기계,공통,검사업체,120VAC용 Receptacle 미설치,2021-12-13,2021-12-13,unicorn95,기타,검사업체,44539,"기술규격서에서 요구하는 자재(120VAC용 Receptacle)가 CPB Crane(0-683-M-CX80)에 설치되어 제작되어야 하나, 승인도면에 누락되어 공급기기인 CPB Crane에 미 설치되어 제작됨 - 기술규격서 요건 : 9-683-M250 Rev.1 4.06.E.1.g 항. - 요건 : 2개의 Grounding type plug receptacle을 독립된 Circuit Breaker로 연결 설치.","기술규격서 요건 : 9-683-M250 Rev.1 4.06.E.1.g 항. - g. The 120 Vac control system, including space heaters, lighting and plug receptacles, shall be furnished by the supplier with 480 -120/208 V, 60 Hz, step down Class H insulated dry type transformer.",기계 및 계전품,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,공통-panel-cable-변압기-계측기,공통,A07
M0046-0034,건설,새울3-4(신고리5-6),5-6호기공용,기계,공통,검사업체,120VAC용 Receptacle 미설치,2021-12-13,2021-12-13,sys230314,기타,검사업체,44539,"기술규격서에서 요구하는 자재(120VAC용 Receptacle)가 CPB Crane(0-683-M-CX80)에 설치되어 제작되어야 하나, 승인도면에 누락되어 공급기기인 CPB Crane에 미 설치되어 제작됨 - 기술규격서 요건 : 9-683-M250 Rev.1 4.06.E.1.g 항. - 요건 : 2개의 Grounding type plug receptacle을 독립된 Circuit Breaker로 연결 설치.","기술규격서 요건 : 9-683-M250 Rev.1 4.06.E.1.g 항. - g. The 120 Vac control system, including space heaters, lighting and plug receptacles, shall be furnished by the supplier with 480 -120/208 V, 60 Hz, step down Class H insulated dry type transformer.",기계 및 계전품,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,공통-panel-cable-변압기-계측기,공통,A67
M0046-0035,건설,새울3-4(신고리5-6),5-6호기공용,기계,공통,검사업체,120VAC용 Receptacle 미설치,2021-12-13,2021-12-13,DKVKXM1,기타,검사업체,44539,"기술규격서에서 요구하는 자재(120VAC용 Receptacle)가 CPB Crane(0-683-M-CX80)에 설치되어 제작되어야 하나, 승인도면에 누락되어 공급기기인 CPB Crane에 미 설치되어 제작됨 - 기술규격서 요건 : 9-683-M250 Rev.1 4.06.E.1.g 항. - 요건 : 2개의 Grounding type plug receptacle을 독립된 Circuit Breaker로 연결 설치.","기술규격서 요건 : 9-683-M250 Rev.1 4.06.E.1.g 항. - g. The 120 Vac control system, including space heaters, lighting and plug receptacles, shall be furnished by the supplier with 480 -120/208 V, 60 Hz, step down Class H insulated dry type transformer.",기계 및 계전품,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,공통-panel-cable-변압기-계측기,공통,A36
M0046-0036,건설,새울3-4(신고리5-6),5-6호기공용,기계,공통,검사업체,120VAC용 Receptacle 미설치,2021-12-13,2021-12-13,3zvalve1,기타,검사업체,44539,"기술규격서에서 요구하는 자재(120VAC용 Receptacle)가 CPB Crane(0-683-M-CX80)에 설치되어 제작되어야 하나, 승인도면에 누락되어 공급기기인 CPB Crane에 미 설치되어 제작됨 - 기술규격서 요건 : 9-683-M250 Rev.1 4.06.E.1.g 항. - 요건 : 2개의 Grounding type plug receptacle을 독립된 Circuit Breaker로 연결 설치.","기술규격서 요건 : 9-683-M250 Rev.1 4.06.E.1.g 항. - g. The 120 Vac control system, including space heaters, lighting and plug receptacles, shall be furnished by the supplier with 480 -120/208 V, 60 Hz, step down Class H insulated dry type transformer.",기계 및 계전품,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,공통-panel-cable-변압기-계측기,공통,A55
M0046-0037,건설,새울3-4(신고리5-6),5-6호기공용,기계,공통,검사업체,120VAC용 Receptacle 미설치,2021-12-13,2021-12-13,pkvalve793,기타,검사업체,44539,"기술규격서에서 요구하는 자재(120VAC용 Receptacle)가 CPB Crane(0-683-M-CX80)에 설치되어 제작되어야 하나, 승인도면에 누락되어 공급기기인 CPB Crane에 미 설치되어 제작됨 - 기술규격서 요건 : 9-683-M250 Rev.1 4.06.E.1.g 항. - 요건 : 2개의 Grounding type plug receptacle을 독립된 Circuit Breaker로 연결 설치.","기술규격서 요건 : 9-683-M250 Rev.1 4.06.E.1.g 항. - g. The 120 Vac control system, including space heaters, lighting and plug receptacles, shall be furnished by the supplier with 480 -120/208 V, 60 Hz, step down Class H insulated dry type transformer.",기계 및 계전품,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,공통-panel-cable-변압기-계측기,공통,C11
M0049-0020,건설,새울3-4(신고리5-6),5-6호기공용,기계,공기조화기,검사업체,송풍기 Inlet Transition Flange 치수 불만족,2021-12-13,2021-12-13,ycyeon0806,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,승인도면 : M255B-DG-A03-25 Rev.10,기계 및 계전품,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,공통-panel-cable-변압기-계측기,공통,A46
M0049-0021,건설,새울3-4(신고리5-6),5-6호기공용,기계,공기조화기,검사업체,송풍기 Inlet Transition Flange 치수 불만족,2021-12-13,2021-12-13,honest0909,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,승인도면 : M255B-DG-A03-25 Rev.10,기계 및 계전품,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,공통-panel-cable-변압기-계측기,공통,A33
M0049-0022,건설,새울3-4(신고리5-6),5-6호기공용,기계,공기조화기,검사업체,송풍기 Inlet Transition Flange 치수 불만족,2021-12-13,2021-12-13,krse7026,기타,검사업체,44539,안전등급 송풍기 육안 및 치수검사 중 Inlet Transition Flange 치수가 허용오차 범위를 넘어서서 제작됨. - Inlet Transition Flange 치수 불일치(허용오차 : ±3mm) 1) 승인도면 : 482mm x 330mm 2) 제 작 : 433mm x 382mm,승인도면 : M255B-DG-A03-25 Rev.10,기계 및 계전품,정보전달,공통-펌프-밸브-배관-탱크-열교환기-공기조화기,공통-panel-cable-변압기-계측기,공통,A61
