번호,문서번호,사업구분,납품사업소,호기,분야,소분야,발행기관,제목,등록일,발행일,등록자아이디,지적유형,검토기관,검토일,미흡_우수사항,관련근거,권고사항,대상품목,권고내용,공유분야(기계),공유분야(계전),공유분야(공통_기타),위배 내용
1,M0053-0001,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,bkocen49,기타,검사업체,2022-10-12,"핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함."," KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.",용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가.  용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A03
2,M0053-0002,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,sessamo,기타,검사업체,2022-10-12,"핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함."," KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.",용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가.  용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A06
3,M0053-0003,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,nkfire15,기타,검사업체,2022-10-12,"핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함."," KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.",용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가.  용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C09
4,M0053-0004,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,haji59k11,기타,검사업체,2022-10-12,"핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함.","KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.",용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가.  용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C03
5,M0053-0005,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,kntsklim8711,기타,검사업체,2022-10-12," 핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함.","KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.",용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가.  용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A10
6,M0053-0006,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,bandohoist1,기타,검사업체,2022-10-12," 핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함.","KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.",용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가.  용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A10
7,M0053-0007,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,ycyeon0806,기타,검사업체,2022-10-12," 핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함."," KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.", 용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가.  용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A03
8,M0054-0033,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,기술규격서(App. 4K1) 요건 불일치,2022-12-01,2022-12-01,isjang8770,기타,검사업체,2022-10-12, 기술규격서 Appendix 4K1에 따라 Austenite Stainless steel의 TP316L 또는 TP304L (Low Carbon) 자재의 용접에 사용되는 PQR은 ASTM A262 Type A 또는 E의 검사 요건에 따라 IGC(Intergranular Corrosion Test)를 실시하고 관련 내용을 기록하도록 되어 있으나 해당되는 PQR에 누락되어 있음.," 기술규격서 Appendix 4K1 5.13 This Paragraph desctibes the requirements for austenitic stainless steel: A. Test piece welded from each austenitic stainless steel welding procedure (other than those for materials restricted specifically to the low-carbon grades, i.e., 0.03% carbon maximum, the stabilized grades, or where post-weld heat treatment is solution annealed) shall be subjected to the ASTM A262 intergranular corrosion test of Practice ""A"" or ""E"". The welding procedure shall be acceptable for use if the sample passes this test; or, if the sample fails this test of practice ""E"". Documentation of these test results shall be Submitted with each Procedure Qualification Record;", Appendix 4K1적용하는 기기는 PQR상의 해당 요건이 기록되어 있는지 점검.  필요시 WPS & PQR 개정,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A07
9,M0054-0034,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,기술규격서(App. 4K1) 요건 불일치,2022-12-01,2022-12-01,shimjc98,기타,검사업체,2022-10-12, 기술규격서 Appendix 4K1에 따라 Austenite Stainless steel의 TP316L 또는 TP304L (Low Carbon) 자재의 용접에 사용되는 PQR은 ASTM A262 Type A 또는 E의 검사 요건에 따라 IGC(Intergranular Corrosion Test)를 실시하고 관련 내용을 기록하도록 되어 있으나 해당되는 PQR에 누락되어 있음.," 기술규격서 Appendix 4K1 5.13 This Paragraph desctibes the requirements for austenitic stainless steel: A. Test piece welded from each austenitic stainless steel welding procedure (other than those for materials restricted specifically to the low-carbon grades, i.e., 0.03% carbon maximum, the stabilized grades, or where post-weld heat treatment is solution annealed) shall be subjected to the ASTM A262 intergranular corrosion test of Practice ""A"" or ""E"". The welding procedure shall be acceptable for use if the sample passes this test; or, if the sample fails this test of practice ""E"". Documentation of these test results shall be Submitted with each Procedure Qualification Record;", Appendix 4K1적용하는 기기는 PQR상의 해당 요건이 기록되어 있는지 점검.  필요시 WPS & PQR 개정,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A09
10,M0054-0035,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,기술규격서(App. 4K1) 요건 불일치,2022-12-01,2022-12-01,swparkssv,기타,검사업체,2022-10-12, 기술규격서 Appendix 4K1에 따라 Austenite Stainless steel의 TP316L 또는 TP304L (Low Carbon) 자재의 용접에 사용되는 PQR은 ASTM A262 Type A 또는 E의 검사 요건에 따라 IGC(Intergranular Corrosion Test)를 실시하고 관련 내용을 기록하도록 되어 있으나 해당되는 PQR에 누락되어 있음.," 기술규격서 Appendix 4K1 5.13 This Paragraph desctibes the requirements for austenitic stainless steel: A. Test piece welded from each austenitic stainless steel welding procedure (other than those for materials restricted specifically to the low-carbon grades, i.e., 0.03% carbon maximum, the stabilized grades, or where post-weld heat treatment is solution annealed) shall be subjected to the ASTM A262 intergranular corrosion test of Practice ""A"" or ""E"". The welding procedure shall be acceptable for use if the sample passes this test; or, if the sample fails this test of practice ""E"". Documentation of these test results shall be Submitted with each Procedure Qualification Record;", Appendix 4K1적용하는 기기는 PQR상의 해당 요건이 기록되어 있는지 점검.  필요시 WPS & PQR 개정,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C01
