번호,문서번호,사업구분,납품사업소,호기,분야,소분야,발행기관,제목,등록일,발행일,등록자,지적유형,검토기관,검토일,미흡_우수사항,관련근거,권고사항,대상품목,권고내용,공유분야(기계),공유분야(계전),공유분야(공통_기타),위배 내용
1,C0019-0001,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,bkocen34,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A42
2,C0019-0002,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,sessamo,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A67
3,C0019-0004,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,haji59k11,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A48
4,C0019-0006,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,bandohoist1,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A08
5,C0019-0008,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,honest0909,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,C12
6,C0019-0010,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,jingo7878,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,C08
7,C0019-0012,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,manilow72,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A63
8,C0019-0014,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,bandohoist7,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A65
9,C0019-0016,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,banabayo,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A07
10,C0019-0018,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,Hold point 고객검사 미수행,2024-11-22,2024-11-22,seaheng1,QSDR,검사업체,2024-01-24," 2024년 01월 23일 제작사 품질담당자의 요청에 따라 해당 품목의 CFSI 목록 검토 요청 시, 출하검사 예정일 문의한 결과 해당 제품이 출하됨을 확인함. - QP 및 기술규격서에 Hold Point로 명기된 QVD검토, 포장검사, 출하검사 미완 및 출하승인서 미발행 상태에서 해당 제품이 현장으로 출하됨."," 기술규격서 ATTACHMENT 4-2 HOLD POINT - QVD검토, 포장검사, 출하검사  승인 QP_Rev.0 - QVD검토, 포장검사, 출하검사 공정", 기술규격서 및 QP 요건에 따라 재 검사 수행.  관련자 교육 및 재발방지 대책 수립.,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,C03
